setting,split,group,target_index,n_trials
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|24,24,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|25,25,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|26,26,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|27,27,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|28,28,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|29,29,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|31,31,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|32,32,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|33,33,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|34,34,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|35,35,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|36,36,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|37,37,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|39,39,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|40,40,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|41,41,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|43,43,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|44,44,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|45,45,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|46,46,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|47,47,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|48,48,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|49,49,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|50,50,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|51,51,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|53,53,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|54,54,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|55,55,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|56,56,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|57,57,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|58,58,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|59,59,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|60,60,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|62,62,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|63,63,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|64,64,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|65,65,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|68,68,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|69,69,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|70,70,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|71,71,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|73,73,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|74,74,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|75,75,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|77,77,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|78,78,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|79,79,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|80,80,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|81,81,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|82,82,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|83,83,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|84,84,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|86,86,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|87,87,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|88,88,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|90,90,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|91,91,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|92,92,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|93,93,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|95,95,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|97,97,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|98,98,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|99,99,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|100,100,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|101,101,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|102,102,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|103,103,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|105,105,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|106,106,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|107,107,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|108,108,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|109,109,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|110,110,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|111,111,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|112,112,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|113,113,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|114,114,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|115,115,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|116,116,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|117,117,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|118,118,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|119,119,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|121,121,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|124,124,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|125,125,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|126,126,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|127,127,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|128,128,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|129,129,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|130,130,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|132,132,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|134,134,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|135,135,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|137,137,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|138,138,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|139,139,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|141,141,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|144,144,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|145,145,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|146,146,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|147,147,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|148,148,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|149,149,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|150,150,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|152,152,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|153,153,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|154,154,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|157,157,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|158,158,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,melina|159,159,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|1,1,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|3,3,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|4,4,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|5,5,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|6,6,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|7,7,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|8,8,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|9,9,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|10,10,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|12,12,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|13,13,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|14,14,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|15,15,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|16,16,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|20,20,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|21,21,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|22,22,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|24,24,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|25,25,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|26,26,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|27,27,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|28,28,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|31,31,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|32,32,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|33,33,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|34,34,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|35,35,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|36,36,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|37,37,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|39,39,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|40,40,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|41,41,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|43,43,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|44,44,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|45,45,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|46,46,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|47,47,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|48,48,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|50,50,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|51,51,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|54,54,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|55,55,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|56,56,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|57,57,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|58,58,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|59,59,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|60,60,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|62,62,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|63,63,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|64,64,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|65,65,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|68,68,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|69,69,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|70,70,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|71,71,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|73,73,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|74,74,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|77,77,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|78,78,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|79,79,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|80,80,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|81,81,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|82,82,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|83,83,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|84,84,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|86,86,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|87,87,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|88,88,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|90,90,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|91,91,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|92,92,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|93,93,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|97,97,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|98,98,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|99,99,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|100,100,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|101,101,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|102,102,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|103,103,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|105,105,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|106,106,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|107,107,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|108,108,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|109,109,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|110,110,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|111,111,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|112,112,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|113,113,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|114,114,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|115,115,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|116,116,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|117,117,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|118,118,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|119,119,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|121,121,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|124,124,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|125,125,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|126,126,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|127,127,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|128,128,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|129,129,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|130,130,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|134,134,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|135,135,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|137,137,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|138,138,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|139,139,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|144,144,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|146,146,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|147,147,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|148,148,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|149,149,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|150,150,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|152,152,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|153,153,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|154,154,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|157,157,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|158,158,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,zar|159,159,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|0,0,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|2,2,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|11,11,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|17,17,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|18,18,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|19,19,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|30,30,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|38,38,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|42,42,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|52,52,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|61,61,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|66,66,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|67,67,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|72,72,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|76,76,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|85,85,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|89,89,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|94,94,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|96,96,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|104,104,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|120,120,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|122,122,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|123,123,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|131,131,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|133,133,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|136,136,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|140,140,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|142,142,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|143,143,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|155,155,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P04|156,156,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|0,0,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|2,2,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|11,11,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|17,17,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|18,18,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|19,19,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|30,30,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|38,38,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|42,42,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|52,52,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|61,61,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|66,66,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|67,67,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|72,72,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|76,76,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|85,85,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|89,89,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|94,94,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|96,96,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|104,104,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|120,120,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|122,122,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|123,123,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|131,131,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|133,133,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|136,136,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|140,140,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|142,142,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|143,143,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|151,151,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|155,155,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P05|156,156,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|0,0,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|2,2,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|11,11,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|17,17,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|18,18,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|19,19,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|30,30,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|38,38,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|42,42,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|52,52,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|61,61,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|66,66,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|67,67,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|72,72,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|76,76,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|85,85,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|89,89,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|94,94,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|96,96,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|104,104,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|120,120,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|122,122,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|123,123,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|131,131,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|133,133,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|136,136,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|140,140,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|142,142,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|143,143,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|151,151,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|155,155,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P06|156,156,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,val,P07|0,0,2
